u_hi,width,phi_Steam,phi_ATG,phi_Beauty,phi_ML1M,ml1m_closed,steam_open,harm_admitted,gain_admitted,is_frozen_point
0.79,0.05,1.0,1.0,1.0,0.7292,0,1,0.045954,0.008299,0
0.79,0.1,1.0,1.0,0.7757,0.3646,0,1,0.023146,0.008299,0
0.79,0.15,1.0,0.6783,0.5172,0.2431,0,1,0.015431,0.007684,0
0.79,0.2,1.0,0.5087,0.3879,0.1823,1,1,0.011573,0.00736,0
0.8,0.05,1.0,1.0,1.0,0.9292,0,1,0.058389,0.008299,0
0.8,0.1,1.0,1.0,0.8757,0.4646,0,1,0.029425,0.008299,0
0.8,0.15,1.0,0.7449,0.5838,0.3097,0,1,0.019617,0.007812,0
0.8,0.2,1.0,0.5587,0.4379,0.2323,0,1,0.014712,0.007456,0
0.81,0.05,1.0,1.0,1.0,1.0,0,1,0.06279,0.008299,0
0.81,0.1,1.0,1.0,0.9757,0.5646,0,1,0.035704,0.008299,0
0.81,0.15,1.0,0.8116,0.6505,0.3764,0,1,0.023803,0.007939,0
0.81,0.2,1.0,0.6087,0.4879,0.2823,0,1,0.017852,0.007551,0
0.82,0.05,1.0,1.0,1.0,1.0,0,1,0.06279,0.008299,0
0.82,0.1,1.0,1.0,1.0,0.6646,0,1,0.041936,0.008299,0
0.82,0.15,1.0,0.8783,0.7172,0.4431,0,1,0.027989,0.008066,0
0.82,0.2,1.0,0.6587,0.5379,0.3323,0,1,0.020991,0.007647,0
