seed,best_step,best_metric,validation_p5_ndcg10,test_p2_ndcg10,test_p5_ndcg10,test_p10_ndcg10,summary_path,summary_sha256,summary_size_bytes,log_path,log_sha256,log_size_bytes,completion_marker_line,best_result_line,manifest_path,manifest_exists,manifest_reconstructed
100,29000,0.028213199503339222,0.028213199503339222,0.0397181623215186,0.040598189839675315,0.04113261682416249,/data/Zijian/goal/RecDemoRuns/close10_atg_noise_floor/atg_core_seed100/checkpoints-meta/ATG/best_summary_hybrid.json,db5c3df497ab3ee4cfebcfa67fd32fb48428017422bd26d1bb41b8b7be3a70cc,2891,/data/Zijian/goal/RecDemoRuns/close10_atg_noise_floor/atg_core_seed100/logs/atg_core_seed100.log,79ce2bde083594e9346095eb743b561653352511ec88047a14375b00d7e74ac5,111480,EARLY_STOP_TRIGGERED step=34000 best_step=29000 best_metric=0.028213,BEST_RESULT step=29000 metric=ndcg10 value=0.028213 summary=/data/Zijian/goal/RecDemoRuns/close10_atg_noise_floor/atg_core_seed100/checkpoints-meta/ATG/best_summary_hybrid.json,/data/Zijian/goal/RecDemoRuns/close10_atg_noise_floor/atg_core_seed100/checkpoints-meta/ATG/frozen_run_manifest.json,false,false
101,32000,0.029021099610334278,0.029021099610334278,0.04129374588439805,0.04217175948074054,0.04179216441674131,/data/Zijian/goal/RecDemoRuns/close10_atg_noise_floor/atg_core_seed101/checkpoints-meta/ATG/best_summary_hybrid.json,2c805c2fdf9e6a5f9785b3f3e242a13ee36ac1027b7a632bb46183529d504379,2949,/data/Zijian/goal/RecDemoRuns/close10_atg_noise_floor/atg_core_seed101/logs/atg_core_seed101.log,e84eb97c3f276a5f9949cc4998908c6e8febd6f217704ea31c033814813aec7a,120863,EARLY_STOP_TRIGGERED step=37000 best_step=32000 best_metric=0.029021,BEST_RESULT step=32000 metric=ndcg10 value=0.029021 summary=/data/Zijian/goal/RecDemoRuns/close10_atg_noise_floor/atg_core_seed101/checkpoints-meta/ATG/best_summary_hybrid.json,/data/Zijian/goal/RecDemoRuns/close10_atg_noise_floor/atg_core_seed101/checkpoints-meta/ATG/frozen_run_manifest.json,false,false
102,42000,0.029207551260010158,0.029207551260010158,0.0423501067251558,0.04312726912337755,0.0431246637349604,/data/Zijian/goal/RecDemoRuns/close10_atg_noise_floor/atg_core_seed102/checkpoints-meta/ATG/best_summary_hybrid.json,654d2d989f20b3eb48288fe288323c14395216520c32348074c1f8cae7509d86,2855,/data/Zijian/goal/RecDemoRuns/close10_atg_noise_floor/atg_core_seed102/logs/atg_core_seed102.log,00941e7539be2d8fcf3b4a776312b2e9e5fb42dbf4a1ca71f65eff9e181fc9b1,152138,EARLY_STOP_TRIGGERED step=47000 best_step=42000 best_metric=0.029208,BEST_RESULT step=42000 metric=ndcg10 value=0.029208 summary=/data/Zijian/goal/RecDemoRuns/close10_atg_noise_floor/atg_core_seed102/checkpoints-meta/ATG/best_summary_hybrid.json,/data/Zijian/goal/RecDemoRuns/close10_atg_noise_floor/atg_core_seed102/checkpoints-meta/ATG/frozen_run_manifest.json,false,false
