seed,run_dir,summary_path,manifest_path,log_path,status,manifest_exists,repo_root,manifest_random_seed,graph_type,text_side_enabled,early_stop_metric,early_stop_strength,write_snapshot_checkpoint,write_best_checkpoint,last_logged_step,best_step,best_metric,val_p5_ndcg10,test_p2_ndcg10,test_p5_ndcg10,test_p10_ndcg10
100,/data/Zijian/goal/RecDemoRuns/close02_ml1m_noise_floor/ml1m_core_seed100,/data/Zijian/goal/RecDemoRuns/close02_ml1m_noise_floor/ml1m_core_seed100/checkpoints-meta/ML1M/best_summary_hybrid.json,/data/Zijian/goal/RecDemoRuns/close02_ml1m_noise_floor/ml1m_core_seed100/checkpoints-meta/ML1M/frozen_run_manifest.json,/data/Zijian/goal/RecDemoRuns/close02_ml1m_noise_floor/ml1m_core_seed100/logs/ml1m_core_seed100.log,completed,yes,/data/Zijian/goal/RecDemo_clean_closeout_chain,100,hybrid,False,ndcg10,p5,True,True,541000,536000,0.1246853303669043,0.124685330366904,0.105785303613534,0.113518733534569,0.116092629562717
101,/data/Zijian/goal/RecDemoRuns/close02_ml1m_noise_floor/ml1m_core_seed101,/data/Zijian/goal/RecDemoRuns/close02_ml1m_noise_floor/ml1m_core_seed101/checkpoints-meta/ML1M/best_summary_hybrid.json,/data/Zijian/goal/RecDemoRuns/close02_ml1m_noise_floor/ml1m_core_seed101/checkpoints-meta/ML1M/frozen_run_manifest.json,/data/Zijian/goal/RecDemoRuns/close02_ml1m_noise_floor/ml1m_core_seed101/logs/ml1m_core_seed101.log,completed,yes,/data/Zijian/goal/RecDemo_clean_closeout_chain,101,hybrid,False,ndcg10,p5,True,True,469000,464000,0.12093581313220847,0.120935813132208,0.102614096469748,0.111240689979095,0.113402353936557
102,/data/Zijian/goal/RecDemoRuns/close02_ml1m_noise_floor/ml1m_core_seed102,/data/Zijian/goal/RecDemoRuns/close02_ml1m_noise_floor/ml1m_core_seed102/checkpoints-meta/ML1M/best_summary_hybrid.json,/data/Zijian/goal/RecDemoRuns/close02_ml1m_noise_floor/ml1m_core_seed102/checkpoints-meta/ML1M/frozen_run_manifest.json,/data/Zijian/goal/RecDemoRuns/close02_ml1m_noise_floor/ml1m_core_seed102/logs/ml1m_core_seed102.log,completed,yes,/data/Zijian/goal/RecDemo_clean_closeout_chain,102,hybrid,False,ndcg10,p5,True,True,519000,514000,0.12419431579257832,0.124194315792578,0.104959298928549,0.11345029595008,0.115472523870577
