dataset,status,official_status,manifest_path,manifest_exists,last_logged_step,early_stop_wait_counter,early_stop_wait_patience,current_summary_path,current_best_step,current_best_metric,current_val_p2_ndcg10,current_test_p2_ndcg10,current_test_p5_ndcg10,current_test_p10_ndcg10,live_eval_step,live_val_p2_ndcg10,live_test_p2_ndcg10,live_test_p5_ndcg10,live_test_p10_ndcg10,live_delta_val_p2_ndcg10,live_delta_test_p2_ndcg10,live_delta_test_p5_ndcg10,live_delta_test_p10_ndcg10,core_summary_path,core_best_step,core_best_metric,core_val_p2_ndcg10,core_test_p2_ndcg10,core_test_p5_ndcg10,core_test_p10_ndcg10,delta_val_p2_ndcg10,delta_test_p2_ndcg10,delta_test_p5_ndcg10,delta_test_p10_ndcg10,expected_outcome,prediction_outcome,reference_magnitude_outcome
Steam,completed,completed,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_mainpath/checkpoints-meta/Steam/frozen_run_manifest.json,yes,71000,5,5,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_mainpath/checkpoints-meta/Steam/best_summary_proposal_adaptive.json,66000,0.016632993411694566,0.016358867878776,0.014911009456831,0.015140031944749,0.016165704843637,71000,0.016405,0.015172,0.015693,0.01651,0.001764129900751,0.002276192844287,0.002196023355036,0.002133405835026,/data/Zijian/goal/RecDemo/checkpoints-meta/Steam/best_summary_adaptive.json,27000,0.01464087009924878,0.014640870099249,0.012895807155713,0.013496976644964,0.014376594164974,0.001717997779528,0.002015202301118,0.001643055299786,0.001789110678662,delta_test_p2_ndcg10 > 0,hit,miss
ML1M,completed,completed,/data/Zijian/goal/RecDemoRuns/main_table_text_side/ml1m_proposal_adaptive_mainpath/checkpoints-meta/ML1M/frozen_run_manifest.json,yes,410000,5,5,/data/Zijian/goal/RecDemoRuns/main_table_text_side/ml1m_proposal_adaptive_mainpath/checkpoints-meta/ML1M/best_summary_proposal_adaptive.json,405000,0.09517516100200263,0.080038175971273,0.07588870818712,0.088931624328109,0.095596713146165,410000,0.079879,0.076103,0.089098,0.095672,-0.015962765896199,-0.014918753257844,-0.010825875016794,-0.006498742343752,/data/Zijian/goal/RecDemo/checkpoints-meta/ML1M/best_summary_hybrid.json,302000,0.09584176589619875,0.095841765896199,0.091021753257844,0.099923875016794,0.102170742343752,-0.015803589924925,-0.015133045070724,-0.010992250688685,-0.006574029197588,abs(delta_test_p2_ndcg10) < 0.01,miss,
Beauty,completed,completed,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_mainpath/checkpoints-meta/Beauty/frozen_run_manifest.json,yes,23000,5,5,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_mainpath/checkpoints-meta/Beauty/best_summary_proposal_adaptive.json,18000,0.024532750777767648,0.018545317259075,0.029435971334722,0.042029809097732,0.040298677463239,23000,0.018438,0.029387,0.040189,0.038732,0.000072186351698,-0.003907857803678,-0.001410098719008,-0.001807326822485,/data/Zijian/goal/RecDemo/checkpoints-meta/Beauty/best_summary_adaptive.json,20000,0.018365813648302143,0.018365813648302,0.033294857803678,0.041599098719008,0.040539326822485,0.000179503610773,-0.003858886468956,0.000430710378725,-0.000240649359246,abs(delta_test_p2_ndcg10) < 0.01,hit,
ATG,completed,completed,/data/Zijian/goal/RecDemoRuns/main_table_text_side/atg_proposal_adaptive_mainpath/checkpoints-meta/ATG/frozen_run_manifest.json,yes,35000,5,5,/data/Zijian/goal/RecDemoRuns/main_table_text_side/atg_proposal_adaptive_mainpath/checkpoints-meta/ATG/best_summary_proposal_adaptive.json,30000,0.029494931106811513,0.021359428174654,0.03046740161338,0.040614593945725,0.041204882061368,35000,0.021576,0.030931,0.041655,0.041181,-0.009427162221414,-0.010946507019888,-0.001337388063084,-0.002467658540524,/data/Zijian/goal/RecDemo/checkpoints-meta/ATG/best_summary_hybrid.json,39000,0.031003162221413583,0.031003162221414,0.041877507019888,0.042992388063084,0.043648658540524,-0.00964373404676,-0.011410105406507,-0.002377794117359,-0.002443776479156,abs(delta_test_p2_ndcg10) < 0.01,miss,
