dataset,status,official_status,run_dir,summary_path,summary_exists,summary_source,manifest_path,manifest_exists,best_step,best_metric,log_path,log_exists,last_logged_step,early_stop_wait_counter,early_stop_wait_patience,queue_launcher
Steam,completed,completed,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_mainpath,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_mainpath/checkpoints-meta/Steam/best_summary_proposal_adaptive.json,yes,run_dir,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_mainpath/checkpoints-meta/Steam/frozen_run_manifest.json,yes,66000,0.016632993411694566,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_mainpath/logs/steam_proposal_adaptive_mainpath.log,yes,71000,5,5,sprint05_backfill_gpu1
ML1M,completed,completed,/data/Zijian/goal/RecDemoRuns/main_table_text_side/ml1m_proposal_adaptive_mainpath,/data/Zijian/goal/RecDemoRuns/main_table_text_side/ml1m_proposal_adaptive_mainpath/checkpoints-meta/ML1M/best_summary_proposal_adaptive.json,yes,run_dir,/data/Zijian/goal/RecDemoRuns/main_table_text_side/ml1m_proposal_adaptive_mainpath/checkpoints-meta/ML1M/frozen_run_manifest.json,yes,405000,0.09517516100200263,/data/Zijian/goal/RecDemoRuns/main_table_text_side/ml1m_proposal_adaptive_mainpath/logs/ml1m_proposal_adaptive_mainpath.log,yes,410000,5,5,sprint05_backfill_gpu1
Beauty,completed,completed,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_mainpath,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_mainpath/checkpoints-meta/Beauty/best_summary_proposal_adaptive.json,yes,run_dir,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_mainpath/checkpoints-meta/Beauty/frozen_run_manifest.json,yes,18000,0.024532750777767648,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_mainpath/logs/beauty_proposal_adaptive_mainpath.log,yes,23000,5,5,sprint05_official_beauty_gpu0
ATG,completed,completed,/data/Zijian/goal/RecDemoRuns/main_table_text_side/atg_proposal_adaptive_mainpath,/data/Zijian/goal/RecDemoRuns/main_table_text_side/atg_proposal_adaptive_mainpath/checkpoints-meta/ATG/best_summary_proposal_adaptive.json,yes,run_dir,/data/Zijian/goal/RecDemoRuns/main_table_text_side/atg_proposal_adaptive_mainpath/checkpoints-meta/ATG/frozen_run_manifest.json,yes,30000,0.029494931106811513,/data/Zijian/goal/RecDemoRuns/main_table_text_side/atg_proposal_adaptive_mainpath/logs/atg_proposal_adaptive_mainpath.log,yes,35000,5,5,sprint05_official_atg_gpu1
