level_kind,variant_tag,dropout_rate,u_ds_popularity,u_ds_uniform,phi_u_ds,u_ds_delta_vs_clean,phi_delta_vs_clean,bank_hash,split_hash,source_text_bank_path,source_embeddings_path,usable_row_count,skipped_row_count
clean_reference,clean,0.0,0.7124275,0.71720375,0.0,0.0,0.0,591e4f4ee24160becd190f2b5279a48a351004ff6fd09f228473188a182b5d9b,ab2863e37b13290aa216ae4c83c725a852e2a7fdd9325afb1d501e0141e3f2b6,/data/Zijian/goal/RecDemo/dataset/paper_raw_v1/Beauty/text_bank.csv,/data/Zijian/goal/RecDemo/dataset/paper_raw_v1/Beauty/sentence_t5_xl_item_emb.pt,,
corrupted,token_dropout,0.3,0.7132637500000001,0.71693,0.0,0.0008362500000000939,0.0,3fe1add7f27866e3b33c181242a420c0ed9e403b289473295d88c1c3cbd56207,ab2863e37b13290aa216ae4c83c725a852e2a7fdd9325afb1d501e0141e3f2b6,,,4000.0,0.0
corrupted,token_dropout40,0.4,0.71057875,0.713675,0.0,-0.0018487499999999546,0.0,9377bbc8bc1c414579ceea17eb33d0ef3f0fbebce88dbc0b2aa46f2a5c705071,ab2863e37b13290aa216ae4c83c725a852e2a7fdd9325afb1d501e0141e3f2b6,,,4000.0,0.0
corrupted,token_dropout40625,0.40625,0.7093387499999999,0.71290625,0.0,-0.0030887500000000845,0.0,6b9a464704f249d71f4d1c80ce0a5e6d35316e46d15010f8aa7a8d2ac04d5615,ab2863e37b13290aa216ae4c83c725a852e2a7fdd9325afb1d501e0141e3f2b6,,,4000.0,0.0
corrupted,token_dropout409375,0.409375,0.70886875,0.71303125,0.0,-0.003558749999999944,0.0,e1c974f2a61e7e727cfd243438bb5cffa5975bbb2cdc7d57079f9f9c27e6d2fb,ab2863e37b13290aa216ae4c83c725a852e2a7fdd9325afb1d501e0141e3f2b6,,,4000.0,0.0
corrupted,token_dropout4125,0.4125,0.70856375,0.7126687500000001,0.0,-0.0038637499999999436,0.0,267551988517151e77baaf241a7b68fa4eb926fc72730de773dac7c37df5ed2a,ab2863e37b13290aa216ae4c83c725a852e2a7fdd9325afb1d501e0141e3f2b6,,,4000.0,0.0
corrupted,token_dropout425,0.425,0.7079975,0.7117162499999999,0.0,-0.004430000000000045,0.0,64937ba73351eaa3faa17620437db1e1b5c3accb4af80c9f23e4c30411f9c430,ab2863e37b13290aa216ae4c83c725a852e2a7fdd9325afb1d501e0141e3f2b6,,,4000.0,0.0
corrupted,token_dropout45,0.45,0.70645,0.71131,0.0,-0.005977499999999969,0.0,387fb7b194b186276706a643be3089d1c1b5c8f4505e35de56ae5520280c3af6,ab2863e37b13290aa216ae4c83c725a852e2a7fdd9325afb1d501e0141e3f2b6,,,4000.0,0.0
corrupted,token_dropout50,0.5,0.7044212500000001,0.7087525,0.0,-0.008006249999999882,0.0,92578bc10146e335a40d58106ccf459514ef26eb4303b6fc662e857c9f05636b,ab2863e37b13290aa216ae4c83c725a852e2a7fdd9325afb1d501e0141e3f2b6,,,4000.0,0.0
