dataset,arm,variant,run_dir,summary_path,manifest_path,log_path,status,manifest_exists,manifest_ablation_mode,phi_u_ds,log_exists,last_logged_step,best_step,best_metric,val_p5_ndcg10,test_p2_ndcg10,test_p5_ndcg10,test_p10_ndcg10,delta_test_p2_vs_full,delta_test_p5_vs_full,delta_test_p10_vs_full,delta_test_p2_vs_core,delta_test_p5_vs_core,delta_test_p10_vs_core,u_shuffle_verdict_vs_full,global_p_core_equivalence
Beauty,full,mainpath,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_mainpath,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_mainpath/checkpoints-meta/Beauty/best_summary_proposal_adaptive.json,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_mainpath/checkpoints-meta/Beauty/frozen_run_manifest.json,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_mainpath/logs/beauty_proposal_adaptive_mainpath.log,completed,yes,none,0,yes,23000,18000,0.024532750777767648,0.024532750777768,0.029435971334722,0.042029809097732,0.040298677463239,0,0,0,-0.003858886468956,0.000430710378725,-0.000240649359246,,
Beauty,u_shuffle,ablation_u_shuffle,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_ablation_u_shuffle,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_ablation_u_shuffle/checkpoints-meta/Beauty/best_summary_proposal_adaptive.json,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_ablation_u_shuffle/checkpoints-meta/Beauty/frozen_run_manifest.json,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_ablation_u_shuffle/logs/beauty_proposal_adaptive_ablation_u_shuffle.log,completed,yes,u_shuffle,0,yes,25000,20000,0.023318789053728993,0.023318789053729,0.033003889269924,0.042127932860094,0.040316663235564,0.003567917935202,0.000098123762362,0.000017985772326,-0.000290968533755,0.000528834141086,-0.000222663586921,not_degrade,
Beauty,text_anchor_only,ablation_text_anchor_only,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_ablation_text_anchor_only,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_ablation_text_anchor_only/checkpoints-meta/Beauty/best_summary_proposal_adaptive.json,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_ablation_text_anchor_only/checkpoints-meta/Beauty/frozen_run_manifest.json,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_ablation_text_anchor_only/logs/beauty_proposal_adaptive_ablation_text_anchor_only.log,completed,yes,text_anchor_only,0,yes,28000,23000,0.02443382057072603,0.024433820570726,0.028988654306103,0.040315700530138,0.038998491937144,-0.000447317028619,-0.001714108567594,-0.001300185526095,-0.004306203497575,-0.00128339818887,-0.001540834885341,,
Beauty,global_p,ablation_global_p,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_ablation_global_p,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_ablation_global_p/checkpoints-meta/Beauty/best_summary_proposal_adaptive.json,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_ablation_global_p/checkpoints-meta/Beauty/frozen_run_manifest.json,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_ablation_global_p/logs/beauty_proposal_adaptive_ablation_global_p.log,completed,yes,global_p,0,yes,23000,18000,0.024532750777767648,0.024532750777768,0.029435971334722,0.042029809097732,0.040298677463239,0,0,0,-0.003858886468956,0.000430710378725,-0.000240649359246,,close
Steam,full,mainpath,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_mainpath,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_mainpath/checkpoints-meta/Steam/best_summary_proposal_adaptive.json,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_mainpath/checkpoints-meta/Steam/frozen_run_manifest.json,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_mainpath/logs/steam_proposal_adaptive_mainpath.log,completed,yes,none,1,yes,71000,66000,0.016632993411694566,0.016632993411695,0.014911009456831,0.015140031944749,0.016165704843637,0,0,0,0.002015202301118,0.001643055299786,0.001789110678662,,
Steam,u_shuffle,ablation_u_shuffle,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_ablation_u_shuffle,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_ablation_u_shuffle/checkpoints-meta/Steam/best_summary_proposal_adaptive.json,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_ablation_u_shuffle/checkpoints-meta/Steam/frozen_run_manifest.json,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_ablation_u_shuffle/logs/steam_proposal_adaptive_ablation_u_shuffle.log,completed,yes,u_shuffle,1,yes,55000,50000,0.01557734366786459,0.015577343667865,0.013834261155886,0.01395611026239,0.015141379190723,-0.001076748300944,-0.00118392168236,-0.001024325652914,0.000938454000173,0.000459133617426,0.000764785025749,degrades,
Steam,text_anchor_only,ablation_text_anchor_only,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_ablation_text_anchor_only,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_ablation_text_anchor_only/checkpoints-meta/Steam/best_summary_proposal_adaptive.json,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_ablation_text_anchor_only/checkpoints-meta/Steam/frozen_run_manifest.json,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_ablation_text_anchor_only/logs/steam_proposal_adaptive_ablation_text_anchor_only.log,completed,yes,text_anchor_only,1,yes,148000,143000,0.03110408558728588,0.031104085587286,0.030180637020685,0.032028121412696,0.035542184560795,0.015269627563855,0.016888089467947,0.019376479717158,0.017284829864973,0.018531144767733,0.02116559039582,,
Steam,global_p,ablation_global_p,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_ablation_global_p,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_ablation_global_p/checkpoints-meta/Steam/best_summary_proposal_adaptive.json,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_ablation_global_p/checkpoints-meta/Steam/frozen_run_manifest.json,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_ablation_global_p/logs/steam_proposal_adaptive_ablation_global_p.log,completed,yes,global_p,1,yes,45000,40000,0.015651911258996388,0.015651911258996,0.013243762552577,0.013868768330687,0.015133772100742,-0.001667246904253,-0.001271263614062,-0.001031932742895,0.000347955396865,0.000371791685724,0.000757177935768,,close
