dataset,u_ds_popularity,legacy_delta_test_p2_ndcg10,corrected_delta_test_p2_ndcg10,u_ds_ascending_rank,legacy_effect_descending_rank,corrected_effect_descending_rank,corrected_order_match
Steam,0.5695662499999999,0.002015202301117946,0.002142306512825227,1,1,1,true
ATG,0.6882625,-0.011410105406507463,-0.01150520135310449,2,3,3,false_adjacent_swap
Beauty,0.7124275,-0.00385888646895636,-0.00370486714668526,3,2,2,false_adjacent_swap
ML1M,0.75353875,-0.01513304507072418,-0.01485053298141541,4,4,4,true
