dataset,baseline_method,baseline_seed,baseline_summary_path,core_summary_path,ours_summary_path,baseline_selector_metric,baseline_best_epoch,baseline_test_hr10,baseline_test_ndcg10,host_test_hr10,host_test_ndcg10,ours_test_hr10,ours_test_ndcg10,delta_baseline_vs_host_hr10,delta_baseline_vs_host_ndcg10,delta_baseline_vs_ours_hr10,delta_baseline_vs_ours_ndcg10
Steam,DiffuRec,100,/data/Zijian/goal/RecDemoRuns/close04_diffurec/steam_diffurec_seed100/checkpoints-meta/Steam/best_summary_diffurec.json,/data/Zijian/goal/RecDemo/checkpoints-meta/Steam/best_summary_adaptive.json,/data/Zijian/goal/RecDemoRuns/main_table_text_side/steam_proposal_adaptive_mainpath/checkpoints-meta/Steam/best_summary_proposal_adaptive.json,NDCG@10,160,0.132470871734468,0.073821796705546,0.029749503968254,0.012895807155713,0.034858630952381,0.014911009456831,0.102721367766214,0.060925989549833,0.097612240782087,0.058910787248715
ML1M,DiffuRec,100,/data/Zijian/goal/RecDemoRuns/close04_diffurec/ml1m_diffurec_seed100/checkpoints-meta/ML1M/best_summary_diffurec.json,/data/Zijian/goal/RecDemo/checkpoints-meta/ML1M/best_summary_hybrid.json,/data/Zijian/goal/RecDemoRuns/main_table_text_side/ml1m_proposal_adaptive_mainpath/checkpoints-meta/ML1M/best_summary_proposal_adaptive.json,NDCG@10,170,0.257926175917337,0.14116162854152,0.165341122372372,0.091021753257844,0.168883727477477,0.07588870818712,0.092585053544965,0.050139875283676,0.08904244843986,0.0652729203544
Beauty,DiffuRec,100,/data/Zijian/goal/RecDemoRuns/close04_diffurec/beauty_diffurec_seed100/checkpoints-meta/Beauty/best_summary_diffurec.json,/data/Zijian/goal/RecDemo/checkpoints-meta/Beauty/best_summary_adaptive.json,/data/Zijian/goal/RecDemoRuns/main_table_text_side/beauty_proposal_adaptive_mainpath/checkpoints-meta/Beauty/best_summary_proposal_adaptive.json,NDCG@10,80,0.057165362251302,0.043489354559117,0.05224609375,0.033294857803678,0.052734375,0.029435971334722,0.004919268501302,0.010194496755439,0.004430987251302,0.014053383224395
ATG,DiffuRec,100,/data/Zijian/goal/RecDemoRuns/close04_diffurec/atg_diffurec_seed100/checkpoints-meta/ATG/best_summary_diffurec.json,/data/Zijian/goal/RecDemo/checkpoints-meta/ATG/best_summary_hybrid.json,/data/Zijian/goal/RecDemoRuns/main_table_text_side/atg_proposal_adaptive_mainpath/checkpoints-meta/ATG/best_summary_proposal_adaptive.json,NDCG@10,180,0.046790364664048,0.036934237927198,0.048549107142857,0.041877507019888,0.046875,0.03046740161338,-0.001758742478809,-0.004943269092689,-0.000084635335952,0.006466836313818
