dataset,dataset_dir,user_count,item_count,split_counts,bank_hash,mean_history_length,median_history_length,std_history_length,p10_history_length,p90_history_length,mean_agreement,median_agreement,std_agreement,p10_agreement,p90_agreement,mean_mu_null,median_mu_null,std_mu_null,p10_mu_null,p90_mu_null,mean_sigma_null,median_sigma_null,std_sigma_null,p10_sigma_null,p90_sigma_null,mean_agreement_residual,median_agreement_residual,std_agreement_residual,p10_agreement_residual,p90_agreement_residual,mean_residual_to_sigma,median_residual_to_sigma,std_residual_to_sigma,p10_residual_to_sigma,p90_residual_to_sigma,mean_completeness,median_completeness,std_completeness,p10_completeness,p90_completeness,mean_history_reliability,median_history_reliability,std_history_reliability,p10_history_reliability,p90_history_reliability,mean_history_ess,median_history_ess,std_history_ess,p10_history_ess,p90_history_ess,mean_history_recency,median_history_recency,std_history_recency,p10_history_recency,p90_history_recency,mean_history_stability,median_history_stability,std_history_stability,p10_history_stability,p90_history_stability,mean_u_tilde,median_u_tilde,std_u_tilde,p10_u_tilde,p90_u_tilde,mean_g,median_g,std_g,p10_g,p90_g
ML1M,/data/Zijian/goal/RecDemo/dataset/paper_raw_v1/ML1M,939809,3706,"{'train': 755782, 'val': 98622, 'test': 85405}",31d8c059bbe138d53689cb0101d09f9eb358dfec5f6f567d9f1d59a6750a30ac,10.0,10.0,0.0,10.0,10.0,0.9426596760749817,0.942712128162384,0.0066802422516047955,0.9338309168815613,0.9513845443725586,0.9313821792602539,0.9313822388648987,5.960464477539063e-08,0.9313822388648987,0.9313822388648987,0.003968317061662674,0.0039683179929852486,9.313225746154785e-10,0.0039683179929852486,0.0039683179929852486,0.011277488432824612,0.011329889297485352,0.0066802422516047955,0.002448666375130415,0.020002305507659912,2.841881275177002,2.855086088180542,1.6833938360214233,0.6170539855957031,5.040499687194824,0.25,0.25,0.0,0.25,0.25,0.940889298915863,0.9409438371658325,0.006986470893025398,0.9316481351852417,0.9500218033790588,1.0,1.0,0.0,1.0,1.0,0.9940986037254333,0.9944710731506348,0.0017922248225659132,0.9917292594909668,0.9959620833396912,0.8853194117546082,0.8854242563247681,0.013360484503209591,0.8676618337631226,0.9027689099311829,1.420940637588501,1.427543044090271,0.8416969180107117,0.30852699279785156,2.520249843597412,0.4183538854122162,0.5,0.14828959107398987,0.15426349639892578,0.5
Steam,/data/Zijian/goal/RecDemo/dataset/paper_raw_v1/Steam,1150863,9265,"{'train': 988517, 'val': 81695, 'test': 80651}",aee6d302995df9603702145b3da1c1daa555b113926d5c71e17b994079f373d0,9.999975204467773,10.0,0.009776495397090912,10.0,10.0,0.9441702365875244,0.9435399174690247,0.006998507305979729,0.9357975721359253,0.9536126255989075,0.9419383406639099,0.9419381618499756,1.4247781109588686e-05,0.9419381618499756,0.9419381618499756,0.007464575115591288,0.007464567665010691,3.3056865049729822e-06,0.007464567665010691,0.007464567665010691,0.002232028404250741,0.0016017556190490723,0.006998501718044281,-0.006140589714050293,0.011674344539642334,0.29901644587516785,0.21458116173744202,0.9375618100166321,-0.8226316571235657,1.5639679431915283,0.25,0.25,0.0,0.25,0.25,0.9425509572029114,0.9419088363647461,0.007245571818202734,0.933882474899292,0.9523193836212158,0.999997615814209,1.0,0.000977649469859898,1.0,1.0,0.9946041703224182,0.9948060512542725,0.001532278722152114,0.9926204085350037,0.9963537454605103,0.8883404731750488,0.8870799541473389,0.013997014611959457,0.8715951442718506,0.9072252511978149,0.14950822293758392,0.10729058086872101,0.46878090500831604,-0.41131582856178284,0.7819839715957642,0.12601549923419952,0.053645290434360504,0.15647470951080322,0.0,0.3909919857978821
Beauty,/data/Zijian/goal/RecDemo/dataset/paper_raw_v1/Beauty,22363,12101,"{'train': 17890, 'val': 2236, 'test': 2237}",23e28bf7cd0ac7fafd102e2c98d4a874a45bc54501231a51870ac306528af602,6.2508158683776855,5.0,2.2631330490112305,4.0,10.0,0.950425386428833,0.9487572312355042,0.010297555476427078,0.9385184645652771,0.9651395082473755,0.9416666030883789,0.942947506904602,0.0045663234777748585,0.9351972937583923,0.9472167491912842,0.004407833330333233,0.005042283795773983,0.00069894187618047,0.003484477521851659,0.005108601413667202,0.008758755400776863,0.0069013237953186035,0.009352930821478367,-0.001440501189790666,0.022345533594489098,2.0461490154266357,1.5963367223739624,2.2286462783813477,-0.32360130548477173,5.078957557678223,0.9341965317726135,0.949999988079071,0.06894339621067047,0.824999988079071,1.0,0.8745919466018677,0.8611467480659485,0.04162589833140373,0.8294352889060974,0.9398908019065857,0.6250815987586975,0.5,0.22631330788135529,0.4000000059604645,1.0,0.9971671104431152,0.9979668855667114,0.002083880826830864,0.994047224521637,0.9990390539169312,0.9008508920669556,0.8975146412849426,0.020595112815499306,0.8770369291305542,0.930279016494751,1.0230745077133179,0.7981683611869812,1.1143231391906738,-0.16180065274238586,2.5394787788391113,0.31587398052215576,0.3990841805934906,0.19967062771320343,0.0,0.5
ATG,/data/Zijian/goal/RecDemo/dataset/paper_raw_v1/ATG,19412,11921,"{'train': 15529, 'val': 1941, 'test': 1942}",b2f77836e49b1602c86dc87da6585982f0c4872577c21968eadc4e153c5efd17,6.131877422332764,5.0,2.2339751720428467,4.0,10.0,0.9528124928474426,0.9511616230010986,0.010179085657000542,0.941457986831665,0.9664400815963745,0.9447957277297974,0.9457704424858093,0.00412097480148077,0.9388560056686401,0.949630618095398,0.004394138231873512,0.00436016358435154,0.0005076456000097096,0.0036450738552957773,0.0049768295139074326,0.008016753010451794,0.00623050332069397,0.00922444462776184,-0.0017352342838421464,0.020168859511613846,1.844107985496521,1.448336124420166,2.1212360858917236,-0.3963467478752136,4.635946273803711,0.935803234577179,0.949999988079071,0.06272013485431671,0.8500000238418579,1.0,0.8746534585952759,0.8608972430229187,0.041033562272787094,0.8314903378486633,0.9420955777168274,0.6131877303123474,0.5,0.22339750826358795,0.4000000059604645,1.0,0.997344970703125,0.9981157779693604,0.0019494404550641775,0.9943875670433044,0.9990682601928711,0.9056251049041748,0.9023231863975525,0.020358171314001083,0.8829159140586853,0.9328801035881042,0.9220539927482605,0.724168062210083,1.0606180429458618,-0.1981733739376068,2.3179731369018555,0.3038337230682373,0.3620840311050415,0.20024900138378143,0.0,0.5
