dataset,dataset_dir,user_count,item_count,split_counts,bank_hash,mean_u_tilde,median_u_tilde,std_u_tilde,p10_u_tilde,p90_u_tilde,mean_g
ML1M,/data/Zijian/goal/RecDemo/dataset/paper_raw_v1/ML1M,939809,3706,"{'train': 755782, 'val': 98622, 'test': 85405}",31d8c059bbe138d53689cb0101d09f9eb358dfec5f6f567d9f1d59a6750a30ac,1.420940637588501,1.427543044090271,0.8416969180107117,0.30852699279785156,2.520249843597412,0.4183538854122162
Steam,/data/Zijian/goal/RecDemo/dataset/paper_raw_v1/Steam,1150863,9265,"{'train': 988517, 'val': 81695, 'test': 80651}",aee6d302995df9603702145b3da1c1daa555b113926d5c71e17b994079f373d0,0.14950822293758392,0.10729058086872101,0.46878090500831604,-0.41131582856178284,0.7819839715957642,0.12601549923419952
Beauty,/data/Zijian/goal/RecDemo/dataset/paper_raw_v1/Beauty,22363,12101,"{'train': 17890, 'val': 2236, 'test': 2237}",23e28bf7cd0ac7fafd102e2c98d4a874a45bc54501231a51870ac306528af602,1.0230745077133179,0.7981683611869812,1.1143231391906738,-0.16180065274238586,2.5394787788391113,0.31587398052215576
ATG,/data/Zijian/goal/RecDemo/dataset/paper_raw_v1/ATG,19412,11921,"{'train': 15529, 'val': 1941, 'test': 1942}",b2f77836e49b1602c86dc87da6585982f0c4872577c21968eadc4e153c5efd17,0.9220539927482605,0.724168062210083,1.0606180429458618,-0.1981733739376068,2.3179731369018555,0.3038337230682373
