user_index,user_total_rows,utility_popularity,coherence,history_length_mean,v1_ndcg10,core_ndcg10,delta_ndcg10,v1_hit10,core_hit10,delta_hit10,v1_rank,core_rank,delta_rank,utility_bucket
6630,4,0.8074999898672104,0.892762303352356,10.0,0.0,0.0,0.0,0.0,0.0,0.0,270.75,44.75,-226.0,Q4
6631,4,0.5774999856948853,0.8923258483409882,10.0,0.0,0.07525750249624252,-0.07525750249624252,0.0,0.25,-0.25,647.25,700.25,53.0,Q2
6632,4,0.6949999779462814,0.8719757497310638,10.0,0.0,0.0,0.0,0.0,0.0,0.0,641.0,817.5,176.5,Q3
6633,4,0.6349999811500311,0.8830733299255371,10.0,0.0,0.0,0.0,0.0,0.0,0.0,367.25,476.25,109.0,Q3
6634,4,0.4124999949708581,0.8776078969240189,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1411.25,1831.75,420.5,Q1
6635,4,0.6399999894201756,0.9144092351198196,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2747.0,1694.25,-1052.75,Q3
6636,4,0.8374999761581421,0.8737849146127701,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2822.5,872.25,-1950.25,Q4
6637,4,0.6124999858438969,0.8776285648345947,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2149.0,1515.75,-633.25,Q3
6638,4,0.919999971985817,0.908123254776001,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2692.25,3579.5,887.25,Q4
6639,4,0.5662499889731407,0.8809321075677872,10.0,0.07226620614528656,0.0,0.07226620614528656,0.25,0.0,0.25,1129.75,554.0,-575.75,Q2
6640,4,0.564999982714653,0.8700887858867645,10.0,0.0,0.07226620614528656,-0.07226620614528656,0.0,0.25,-0.25,935.25,545.25,-390.0,Q2
6641,4,0.4599999878555536,0.869925394654274,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1659.0,3693.5,2034.5,Q1
6642,4,0.8437499701976776,0.8860153257846832,10.0,0.16131800413131714,0.08905179798603058,0.07226620614528656,0.5,0.25,0.25,2106.75,1468.75,-638.0,Q4
6643,4,0.5224999883212149,0.9027094841003418,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2112.75,2209.0,96.25,Q2
