utility_bucket,user_count,utility_mean,utility_min,utility_max,delta_ndcg10_mean,delta_hit10_mean,delta_rank_mean,v1_ndcg10_mean,core_ndcg10_mean
Q1,1208,0.53059187427931,0.1524999998509884,0.649999987334013,-0.09247265978167389,-0.16597682119205298,-247.64755794701986,0.02577236917684015,0.11824502895851403
Q2,1208,0.7151086330893742,0.649999987334013,0.773749977350235,-0.08452413877509288,-0.15480132450331127,-104.99254966887418,0.0359176043852769,0.12044174316036978
Q3,1208,0.8219981170968701,0.7737499848008156,0.8699999898672104,-0.08262730919022039,-0.1390728476821192,0.7775248344370861,0.04771818973074686,0.13034549892096725
Q4,1208,0.9196709208067088,0.8699999898672104,0.9974999874830246,-0.07302147887696493,-0.1285182119205298,96.45633278145695,0.06009805316586565,0.13311953204283059
