user_index,user_total_rows,utility_popularity,coherence,history_length_mean,v1_ndcg10,core_ndcg10,delta_ndcg10,v1_hit10,core_hit10,delta_hit10,v1_rank,core_rank,delta_rank,utility_bucket
78,4,0.929999977350235,0.9069795906543732,10.0,0.0,0.0,0.0,0.0,0.0,0.0,478.5,809.75,331.25,Q4
79,4,0.7124999910593033,0.8871274143457413,10.0,0.0,0.0,0.0,0.0,0.0,0.0,172.5,285.0,112.5,Q2
80,4,0.8999999910593033,0.8876810073852539,10.0,0.0,0.0,0.0,0.0,0.0,0.0,346.75,332.75,-14.0,Q4
81,4,0.5287499874830246,0.8792864829301834,10.0,0.0,0.0833333358168602,-0.0833333358168602,0.0,0.25,-0.25,206.0,225.0,19.0,Q1
82,4,0.8537499904632568,0.8904200494289398,10.0,0.0,0.10766914486885071,-0.10766914486885071,0.0,0.25,-0.25,75.0,30.5,-44.5,Q3
83,4,0.6349999755620956,0.8790966868400574,10.0,0.0,0.0,0.0,0.0,0.0,0.0,375.0,408.5,33.5,Q1
84,4,0.8024999797344208,0.8913859874010086,10.0,0.0,0.0,0.0,0.0,0.0,0.0,606.75,407.25,-199.5,Q3
85,4,0.9274999648332596,0.8919419795274734,10.0,0.0,0.0,0.0,0.0,0.0,0.0,233.5,247.5,14.0,Q4
86,4,0.6524999737739563,0.9037937968969345,10.0,0.0,0.07525750249624252,-0.07525750249624252,0.0,0.25,-0.25,567.25,275.5,-291.75,Q2
87,4,0.8349999934434891,0.8822248876094818,10.0,0.0833333358168602,0.10766914486885071,-0.02433580905199051,0.25,0.25,0.0,299.75,97.25,-202.5,Q3
88,4,0.6962499916553497,0.8728715777397156,10.0,0.0,0.0,0.0,0.0,0.0,0.0,282.75,126.0,-156.75,Q2
89,4,0.7174999713897705,0.8704498112201691,10.0,0.0,0.0,0.0,0.0,0.0,0.0,411.75,256.5,-155.25,Q2
90,4,0.8399999737739563,0.8865934908390045,10.0,0.0,0.0,0.0,0.0,0.0,0.0,206.25,665.5,459.25,Q3
91,4,0.9724999666213989,0.8976387977600098,10.0,0.125,0.125,0.0,0.25,0.25,0.0,142.0,193.0,51.0,Q4
92,4,0.9899999648332596,0.9095274955034256,10.0,0.15773244202136993,0.0,0.15773244202136993,0.25,0.0,0.25,38.0,250.5,212.5,Q4
93,4,0.9449999779462814,0.893088236451149,10.0,0.07525750249624252,0.0,0.07525750249624252,0.25,0.0,0.25,59.0,191.5,132.5,Q4
94,4,0.5374999940395355,0.8704264163970947,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1047.25,1079.25,32.0,Q1
