user_index,candidate_row_index,sampled_order,utility_popularity,coherence,history_length,v1_rank,v1_hit10,v1_ndcg10,core_rank,core_hit10,core_ndcg10,delta_ndcg10,delta_hit10,delta_rank,dataset
48,40,0,0.949999988079071,0.8898246884346008,10,164,0.0,0.0,441,0.0,0.0,0.0,0.0,277,ML1M
48,45,1,0.8100000023841858,0.8775196075439453,10,2741,0.0,0.0,1546,0.0,0.0,0.0,0.0,-1195,ML1M
48,49,2,0.44999998807907104,0.8777087926864624,10,1535,0.0,0.0,44,0.0,0.0,0.0,0.0,-1491,ML1M
48,52,3,0.8100000023841858,0.87969571352005,10,482,0.0,0.0,1076,0.0,0.0,0.0,0.0,594,ML1M
49,1,0,0.9699999690055847,0.8855956792831421,10,107,0.0,0.0,174,0.0,0.0,0.0,0.0,67,ML1M
49,26,1,0.949999988079071,0.9021005630493164,10,76,0.0,0.0,39,0.0,0.0,0.0,0.0,-37,ML1M
49,29,2,0.8299999833106995,0.8992903828620911,10,64,0.0,0.0,58,0.0,0.0,0.0,0.0,-6,ML1M
49,53,3,0.3799999952316284,0.8694127798080444,10,1205,0.0,0.0,26,0.0,0.0,0.0,0.0,-1179,ML1M
50,17,0,0.75,0.8731358647346497,10,1644,0.0,0.0,1040,0.0,0.0,0.0,0.0,-604,ML1M
50,129,1,0.6200000047683716,0.9010957479476929,10,1880,0.0,0.0,775,0.0,0.0,0.0,0.0,-1105,ML1M
50,187,2,1.0,0.8817793130874634,10,337,0.0,0.0,1496,0.0,0.0,0.0,0.0,1159,ML1M
50,225,3,0.85999995470047,0.881301999092102,10,65,0.0,0.0,4,1.0,0.43067657947540283,-0.43067657947540283,-1.0,-61,ML1M
51,20,0,0.9699999690055847,0.8994863629341125,10,135,0.0,0.0,461,0.0,0.0,0.0,0.0,326,ML1M
51,32,1,1.0,0.9020798802375793,10,21,0.0,0.0,8,1.0,0.31546488404273987,-0.31546488404273987,-1.0,-13,ML1M
51,37,2,0.6800000071525574,0.9041388630867004,10,893,0.0,0.0,370,0.0,0.0,0.0,0.0,-523,ML1M
51,58,3,0.8799999952316284,0.8845672607421875,10,285,0.0,0.0,619,0.0,0.0,0.0,0.0,334,ML1M
52,39,0,0.9599999785423279,0.8905103802680969,10,79,0.0,0.0,13,0.0,0.0,0.0,0.0,-66,ML1M
52,50,1,0.8949999809265137,0.8953784108161926,10,134,0.0,0.0,21,0.0,0.0,0.0,0.0,-113,ML1M
52,52,2,0.7699999809265137,0.8926948308944702,10,101,0.0,0.0,28,0.0,0.0,0.0,0.0,-73,ML1M
52,56,3,0.9799999594688416,0.8893799781799316,10,18,0.0,0.0,9,1.0,0.3010300099849701,-0.3010300099849701,-1.0,-9,ML1M
53,1,0,0.9249999523162842,0.8753450512886047,10,97,0.0,0.0,14,0.0,0.0,0.0,0.0,-83,ML1M
53,8,1,0.7400000095367432,0.8813713192939758,10,52,0.0,0.0,16,0.0,0.0,0.0,0.0,-36,ML1M
53,15,2,1.0,0.8960879445075989,10,93,0.0,0.0,236,0.0,0.0,0.0,0.0,143,ML1M
53,18,3,0.6299999952316284,0.9057955741882324,10,125,0.0,0.0,26,0.0,0.0,0.0,0.0,-99,ML1M
54,40,0,0.7999999523162842,0.8727319836616516,10,147,0.0,0.0,242,0.0,0.0,0.0,0.0,95,ML1M
54,45,1,0.8449999690055847,0.8791612386703491,10,360,0.0,0.0,340,0.0,0.0,0.0,0.0,-20,ML1M
54,82,2,0.9599999785423279,0.8940823674201965,10,133,0.0,0.0,1248,0.0,0.0,0.0,0.0,1115,ML1M
54,84,3,0.6599999666213989,0.8939011693000793,10,754,0.0,0.0,305,0.0,0.0,0.0,0.0,-449,ML1M
55,7,0,0.7049999833106995,0.9068031311035156,10,73,0.0,0.0,2,1.0,0.6309297680854797,-0.6309297680854797,-1.0,-71,ML1M
55,10,1,1.0,0.9096307754516602,10,26,0.0,0.0,32,0.0,0.0,0.0,0.0,6,ML1M
55,14,2,0.9799999594688416,0.8998823165893555,10,12,0.0,0.0,2,1.0,0.6309297680854797,-0.6309297680854797,-1.0,-10,ML1M
55,18,3,0.8199999928474426,0.8979047536849976,10,174,0.0,0.0,34,0.0,0.0,0.0,0.0,-140,ML1M
56,6,0,0.8700000047683716,0.9072853326797485,10,92,0.0,0.0,46,0.0,0.0,0.0,0.0,-46,ML1M
56,8,1,0.9099999666213989,0.9076709747314453,10,42,0.0,0.0,37,0.0,0.0,0.0,0.0,-5,ML1M
56,15,2,0.7400000095367432,0.9091945886611938,10,182,0.0,0.0,21,0.0,0.0,0.0,0.0,-161,ML1M
56,17,3,0.9799999594688416,0.9052391052246094,10,19,0.0,0.0,26,0.0,0.0,0.0,0.0,7,ML1M
57,58,0,0.7599999904632568,0.8924400210380554,10,11,0.0,0.0,7,1.0,0.3333333432674408,-0.3333333432674408,-1.0,-4,ML1M
57,61,1,0.9699999690055847,0.8886877298355103,10,41,0.0,0.0,17,0.0,0.0,0.0,0.0,-24,ML1M
57,99,2,0.2800000011920929,0.8683515787124634,10,292,0.0,0.0,76,0.0,0.0,0.0,0.0,-216,ML1M
57,108,3,0.6499999761581421,0.861613929271698,10,70,0.0,0.0,19,0.0,0.0,0.0,0.0,-51,ML1M
58,12,0,0.9749999642372131,0.8708345293998718,10,418,0.0,0.0,86,0.0,0.0,0.0,0.0,-332,ML1M
58,46,1,0.9199999570846558,0.8740174174308777,10,43,0.0,0.0,10,1.0,0.28906482458114624,-0.28906482458114624,-1.0,-33,ML1M
58,139,2,0.0,0.8669740557670593,10,2066,0.0,0.0,2128,0.0,0.0,0.0,0.0,62,ML1M
58,159,3,1.0,0.8656123876571655,10,605,0.0,0.0,1575,0.0,0.0,0.0,0.0,970,ML1M
59,5,0,0.6800000071525574,0.8736640214920044,10,601,0.0,0.0,1495,0.0,0.0,0.0,0.0,894,ML1M
59,15,1,0.47999998927116394,0.8793804049491882,10,2885,0.0,0.0,882,0.0,0.0,0.0,0.0,-2003,ML1M
59,18,2,0.1599999964237213,0.8748927116394043,10,2698,0.0,0.0,1293,0.0,0.0,0.0,0.0,-1405,ML1M
59,19,3,0.5799999833106995,0.8723052740097046,10,3154,0.0,0.0,1062,0.0,0.0,0.0,0.0,-2092,ML1M
60,25,0,0.6800000071525574,0.8765183687210083,10,496,0.0,0.0,49,0.0,0.0,0.0,0.0,-447,ML1M
60,82,1,0.07000000029802322,0.8686019778251648,10,281,0.0,0.0,557,0.0,0.0,0.0,0.0,276,ML1M
60,112,2,0.6049999594688416,0.8651895523071289,10,1169,0.0,0.0,699,0.0,0.0,0.0,0.0,-470,ML1M
60,155,3,0.6800000071525574,0.8757303953170776,10,235,0.0,0.0,527,0.0,0.0,0.0,0.0,292,ML1M
61,187,0,0.85999995470047,0.8587106466293335,10,61,0.0,0.0,12,0.0,0.0,0.0,0.0,-49,ML1M
61,210,1,0.949999988079071,0.8856315612792969,10,111,0.0,0.0,37,0.0,0.0,0.0,0.0,-74,ML1M
61,329,2,0.9399999976158142,0.9021617770195007,10,55,0.0,0.0,85,0.0,0.0,0.0,0.0,30,ML1M
61,386,3,0.8399999737739563,0.8659263849258423,10,2574,0.0,0.0,1819,0.0,0.0,0.0,0.0,-755,ML1M
62,2,0,0.6699999570846558,0.8578160405158997,10,348,0.0,0.0,65,0.0,0.0,0.0,0.0,-283,ML1M
62,21,1,0.9799999594688416,0.8870655298233032,10,2,1.0,0.6309297680854797,2,1.0,0.6309297680854797,0.0,0.0,0,ML1M
62,22,2,0.6100000143051147,0.8874231576919556,10,26,0.0,0.0,1,1.0,1.0,-1.0,-1.0,-25,ML1M
62,27,3,0.85999995470047,0.8838955760002136,10,142,0.0,0.0,50,0.0,0.0,0.0,0.0,-92,ML1M
63,36,0,0.8399999737739563,0.8863388299942017,10,139,0.0,0.0,4,1.0,0.43067657947540283,-0.43067657947540283,-1.0,-135,ML1M
63,43,1,0.6699999570846558,0.8848222494125366,10,146,0.0,0.0,51,0.0,0.0,0.0,0.0,-95,ML1M
63,73,2,0.85999995470047,0.8782771229743958,10,181,0.0,0.0,172,0.0,0.0,0.0,0.0,-9,ML1M
63,83,3,0.8999999761581421,0.8921221494674683,10,6,1.0,0.3562071919441223,10,1.0,0.28906482458114624,0.06714236736297607,0.0,4,ML1M
64,10,0,0.8499999642372131,0.8989499807357788,10,73,0.0,0.0,156,0.0,0.0,0.0,0.0,83,ML1M
64,20,1,0.5199999809265137,0.8790016174316406,10,15,0.0,0.0,8,1.0,0.31546488404273987,-0.31546488404273987,-1.0,-7,ML1M
64,23,2,0.9199999570846558,0.8748401403427124,10,92,0.0,0.0,97,0.0,0.0,0.0,0.0,5,ML1M
64,39,3,0.7799999713897705,0.8864782452583313,10,981,0.0,0.0,42,0.0,0.0,0.0,0.0,-939,ML1M
65,1,0,0.8999999761581421,0.8710190653800964,10,10,1.0,0.28906482458114624,26,0.0,0.0,0.28906482458114624,1.0,16,ML1M
65,133,1,0.7899999618530273,0.8962833285331726,10,515,0.0,0.0,164,0.0,0.0,0.0,0.0,-351,ML1M
